Experiment Time,Train Time,Dataset Name,Model Name,Val Loss,Test Loss,IoU,Dice,Precision,Recall,Total Params,Train-Predction Time
250612_104829,250612_104830,ETIS,submission_2023220397,0.5177840223679175,0.5037225607113961,0.4021552036924776,0.4996709183417586,0.48988397927546173,0.5673281722880059,"517,602",00:00:56
250612_104829,250612_104926,CVPPP,submission_2023220397,0.2852042043282662,0.2931178891916334,0.8468609604109086,0.9137512989564496,0.85152155506375,0.99401286824204,"517,602",00:02:00
250612_104829,250612_105127,CFD,submission_2023220397,0.5772198637326559,0.5745947559674581,0.20459058608397773,0.3367714127044282,0.22962779880082848,0.7250602363336692,"517,602",00:00:44
250612_104829,250612_105211,CarDD,submission_2023220397,0.4312151326582982,0.43275003937574535,0.39170423550909067,0.5150488824777141,0.5621199125150423,0.5751416430452599,"517,602",00:01:26
